Time;Source;Destination;Protocol;Length;Label
6534;1921681011;192168103;6;42;1
6536;1921681011;192168103;6;42;1
6537;1921681011;192168103;6;42;1
6538;1921681011;192168103;6;42;1
6539;1921681011;192168103;6;42;1
6541;1921681011;192168103;6;42;1
6542;1921681011;192168103;6;42;1
6544;1921681011;192168103;6;42;1
6549;1921681011;192168103;6;42;1
6552;1921681011;192168103;6;42;1
6554;1921681011;192168103;6;42;1
6556;1921681011;192168103;6;42;1
6559;1921681011;192168103;6;42;1
6563;1921681011;192168103;6;42;1
6565;1921681011;192168103;6;42;1
6566;1921681011;192168103;6;42;1
6568;1921681011;192168103;6;42;1
6570;1921681011;192168103;6;42;1
6572;1921681011;192168103;6;42;1
6574;1921681011;192168103;6;42;1
6576;1921681011;192168103;6;42;1
6578;1921681011;192168103;6;42;1
6579;1921681011;192168103;6;42;1
6581;1921681011;192168103;6;42;1
6582;1921681011;192168103;6;42;1
6584;1921681011;192168103;6;42;1
6585;1921681011;192168103;6;42;1
6587;1921681011;192168103;6;42;1
6589;1921681011;192168103;6;42;1
6591;1921681011;192168103;6;42;1
6593;1921681011;192168103;6;42;1
6595;1921681011;192168103;6;42;1
6596;1921681011;192168103;6;42;1
6598;1921681011;192168103;6;42;1
6600;1921681011;192168103;6;42;1
6603;1921681011;192168103;6;42;1
6604;1921681011;192168103;6;42;1
6606;1921681011;192168103;6;42;1
6608;1921681011;192168103;6;42;1
6609;1921681011;192168103;6;42;1
6611;1921681011;192168103;6;42;1
6612;1921681011;192168103;6;42;1
6614;1921681011;192168103;6;42;1
6615;1921681011;192168103;6;42;1
6616;1921681011;192168103;6;42;1
6617;1921681011;192168103;6;42;1
6619;1921681011;192168103;6;42;1
6620;1921681011;192168103;6;42;1
6622;1921681011;192168103;6;42;1
6624;1921681011;192168103;6;42;1
6626;1921681011;192168103;6;42;1
6628;1921681011;192168103;6;42;1
6630;1921681011;192168103;6;42;1
6632;1921681011;192168103;6;42;1
6634;1921681011;192168103;6;42;1
6636;1921681011;192168103;6;42;1
6638;1921681011;192168103;6;42;1
6640;1921681011;192168103;6;42;1
6641;1921681011;192168103;6;42;1
6643;1921681011;192168103;6;42;1
6644;1921681011;192168103;6;42;1
6645;1921681011;192168103;6;42;1
6646;1921681011;192168103;6;42;1
6648;1921681011;192168103;6;42;1
6650;1921681011;192168103;6;42;1
6652;1921681011;192168103;6;42;1
6653;1921681011;192168103;6;42;1
6655;1921681011;192168103;6;42;1
6656;1921681011;192168103;6;42;1
6657;1921681011;192168103;6;42;1
6658;1921681011;192168103;6;42;1
6660;1921681011;192168103;6;42;1
6678;1921681011;192168103;6;42;1
6680;1921681011;192168103;6;42;1
6682;1921681011;192168103;6;42;1
6684;1921681011;192168103;6;42;1
6686;1921681011;192168103;6;42;1
6688;1921681011;192168103;6;42;1
6690;1921681011;192168103;6;42;1
6692;1921681011;192168103;6;42;1
6694;1921681011;192168103;6;42;1
6696;1921681011;192168103;6;42;1
6698;1921681011;192168103;6;42;1
6700;1921681011;192168103;6;42;1
6703;1921681011;192168103;6;42;1
6705;1921681011;192168103;6;42;1
6707;1921681011;192168103;6;42;1
27956;1921681011;192168103;6;42;1
27975;1921681011;192168103;6;42;1
27978;1921681011;192168103;6;42;1
27980;1921681011;192168103;6;42;1
27983;1921681011;192168103;6;42;1
27985;1921681011;192168103;6;42;1
27987;1921681011;192168103;6;42;1
27990;1921681011;192168103;6;42;1
27992;1921681011;192168103;6;42;1
27994;1921681011;192168103;6;42;1
27996;1921681011;192168103;6;42;1
27998;1921681011;192168103;6;42;1
28001;1921681011;192168103;6;42;1
28003;1921681011;192168103;6;42;1
28005;1921681011;192168103;6;42;1
28007;1921681011;192168103;6;42;1
28009;1921681011;192168103;6;42;1
28011;1921681011;192168103;6;42;1
28024;1921681011;192168103;6;42;1
28027;1921681011;192168103;6;42;1
28033;1921681011;192168103;6;42;1
28036;1921681011;192168103;6;42;1
28042;1921681011;192168103;6;42;1
28045;1921681011;192168103;6;42;1
28050;1921681011;192168103;6;42;1
28052;1921681011;192168103;6;42;1
28056;1921681011;192168103;6;42;1
28058;1921681011;192168103;6;42;1
28076;1921681011;192168103;6;42;1
28078;1921681011;192168103;6;42;1
28080;1921681011;192168103;6;42;1
28082;1921681011;192168103;6;42;1
